X,Y,Z
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.11,-0.07,0.98
-0.11,-0.07,0.98
-0.11,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.11,-0.07,0.97
-0.10,-0.07,0.98
-0.11,-0.07,0.98
-0.10,-0.06,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.98
-0.10,-0.07,0.99
-0.10,-0.07,0.98
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.98
-0.11,-0.07,0.98
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.98
-0.10,-0.06,0.98
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.98
-0.10,-0.07,0.98
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.98
-0.11,-0.07,0.98
-0.10,-0.07,0.97
-0.11,-0.07,0.97
-0.10,-0.07,0.98
-0.10,-0.07,0.98
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.06,0.98
-0.10,-0.07,0.98
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.98
-0.10,-0.07,0.97
-0.11,-0.07,0.97
-0.11,-0.07,0.98
-0.11,-0.07,0.98
-0.11,-0.07,0.98
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.98
-0.10,-0.07,0.98
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.11,-0.07,0.98
-0.11,-0.07,0.98
-0.11,-0.07,0.97
-0.11,-0.07,0.98
-0.11,-0.07,0.98
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.98
-0.10,-0.07,0.98
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.98
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.98
-0.10,-0.07,0.98
-0.11,-0.07,0.97
-0.11,-0.07,0.97
-0.11,-0.07,0.98
-0.11,-0.07,0.98
-0.11,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.98
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.11,-0.07,0.98
-0.11,-0.07,0.98
-0.10,-0.07,0.98
-0.10,-0.07,0.98
-0.10,-0.07,0.98
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.98
-0.10,-0.07,0.98
-0.10,-0.07,0.97
-0.11,-0.07,0.97
-0.11,-0.07,0.98
-0.11,-0.07,0.98
-0.10,-0.07,0.98
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.11,-0.07,0.98
-0.10,-0.07,0.98
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.98
-0.10,-0.07,0.98
-0.10,-0.07,0.98
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.98
-0.10,-0.07,0.98
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.98
-0.10,-0.07,0.98
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.11,-0.07,0.98
-0.10,-0.07,0.97
-0.11,-0.07,0.98
-0.11,-0.07,0.98
-0.10,-0.07,0.98
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.98
-0.10,-0.07,0.98
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.98
-0.10,-0.07,0.98
-0.10,-0.07,0.98
-0.11,-0.07,0.97
-0.11,-0.07,0.97
-0.11,-0.07,0.98
-0.10,-0.07,0.98
-0.10,-0.07,0.98
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.11,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.98
-0.11,-0.07,0.98
-0.11,-0.07,0.97
-0.11,-0.07,0.97
-0.11,-0.07,0.98
-0.11,-0.07,0.98
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.98
-0.10,-0.07,0.98
-0.10,-0.07,0.98
-0.10,-0.07,0.97
-0.11,-0.07,0.97
-0.11,-0.07,0.98
-0.10,-0.07,0.98
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.11,-0.07,0.97
-0.11,-0.07,0.97
-0.11,-0.07,0.98
-0.11,-0.07,0.98
-0.10,-0.07,0.98
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.10,-0.07,0.97
-0.11,-0.07,0.98
-0.11,-0.07,0.98
-0.11,-0.07,0.97
-0.11,-0.07,0.97
-0.11,-0.07,0.98
-0.10,-0.07,0.98
-0.11,-0.07,0.98
-0.10,-0.07,0.97
-0.10,-0.07,0.97
